,City
3369,Antwerp
3370,Antwerp
3371,Antwerp
3372,Antwerp
3373,Antwerp
3374,Antwerp
3375,Antwerp
3376,Antwerp
3377,Antwerp
3378,Antwerp
3379,Antwerp
3380,Antwerp
3381,Antwerp
3382,Antwerp
3383,Antwerp
3384,Antwerp
3385,Antwerp
3386,Antwerp
3387,Antwerp
3412,Antwerp
3413,Antwerp
3414,Antwerp
3415,Antwerp
3416,Antwerp
3417,Antwerp
3418,Antwerp
3419,Antwerp
3420,Antwerp
3421,Antwerp
3422,Antwerp
3423,Antwerp
3424,Antwerp
3425,Antwerp
3426,Antwerp
3427,Antwerp
3428,Antwerp
3429,Antwerp
3430,Antwerp
3431,Antwerp
3432,Antwerp
3433,Antwerp
3434,Antwerp
3435,Antwerp
3486,Antwerp
3487,Antwerp
3488,Antwerp
3489,Antwerp
3490,Antwerp
3491,Antwerp
3492,Antwerp
3493,Antwerp
3494,Antwerp
3495,Antwerp
3496,Antwerp
3497,Antwerp
3498,Antwerp
3499,Antwerp
3500,Antwerp
3501,Antwerp
3502,Antwerp
3503,Antwerp
3504,Antwerp
3505,Antwerp
3506,Antwerp
3507,Antwerp
3508,Antwerp
3509,Antwerp
3550,Antwerp
3551,Antwerp
3552,Antwerp
3553,Antwerp
3554,Antwerp
3555,Antwerp
3556,Antwerp
3557,Antwerp
3558,Antwerp
3559,Antwerp
3560,Antwerp
3561,Antwerp
3562,Antwerp
3563,Antwerp
3564,Antwerp
3585,Antwerp
3586,Antwerp
3587,Antwerp
3588,Antwerp
3589,Antwerp
3590,Antwerp
3591,Antwerp
3592,Antwerp
3605,Antwerp
3611,Antwerp
3612,Antwerp
3613,Antwerp
3614,Antwerp
3623,Antwerp
3624,Antwerp
3636,Antwerp
3637,Antwerp
3638,Antwerp
3639,Antwerp
3640,Antwerp
3641,Antwerp
3642,Antwerp
3643,Antwerp
3644,Antwerp
3659,Antwerp
3660,Antwerp
3661,Antwerp
3662,Antwerp
3663,Antwerp
3672,Antwerp
3673,Antwerp
3674,Antwerp
3679,Antwerp
3681,Antwerp
3682,Antwerp
3683,Antwerp
3684,Antwerp
3685,Antwerp
3686,Antwerp
3687,Antwerp
3688,Antwerp
3689,Antwerp
3690,Antwerp
3691,Antwerp
3692,Antwerp
3693,Antwerp
3694,Antwerp
3695,Antwerp
3696,Antwerp
3697,Antwerp
3714,Antwerp
3715,Antwerp
